Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
86000,88.29365079,96.57788789,0.732684224,38.09,,,,,,,,,,,
87000,88.69047619,96.60885723,0.749047244,38.529,,,,,,,,,,,
88000,88.88888889,96.65531124,0.71887418,38.967,,,,,,,,,,,
89000,88.59126984,96.68628058,0.726694668,39.407,,,,,,,,,,,
90000,88.69047619,96.63982657,0.734140893,39.847,,,,,,,,,,,
91000,89.18650794,96.68628058,0.715219797,40.287,,,,,,,,,,,
92000,89.38492063,96.70176525,0.695878245,40.733,,,,,,,,,,,
93000,89.28571429,96.70176525,0.68334683,41.172,,,,,,,,,,,
94000,89.38492063,96.73273459,0.687138818,41.61,,,,,,,,,,,
95000,89.18650794,96.70176525,0.685383352,42.056,,,,,,,,,,,
96000,89.38492063,96.63982657,0.675113336,42.497,,,,,,,,,,,
97000,89.68253968,96.81015794,0.689485901,42.949,,,,,,,,,,,
98000,89.88095238,96.79467327,0.682501601,43.393,,,,,,,,,,,
99000,89.78174603,96.84112728,0.683023627,43.834,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 3|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,3.075396825,0.495509446,22.66424185,0.284,,,,,,,,,,,
1000,22.81746032,68.42675751,6.108122242,0.76,,,,,,,,,,,
2000,29.46428571,78.58470115,4.792194902,1.235,,,,,,,,,,,
3000,37.5,81.54227315,4.142225302,1.71,,,,,,,,,,,
4000,37.79761905,82.75007742,3.707300548,2.189,,,,,,,,,,,
5000,43.5515873,84.46887581,3.298868038,2.67,,,,,,,,,,,
6000,42.85714286,85.27407866,3.110440264,3.148,,,,,,,,,,,
7000,47.02380952,86.28058222,2.916067634,3.623,,,,,,,,,,,
8000,49.8015873,87.47290183,2.770281239,4.138,,,,,,,,,,,
9000,52.28174603,87.86001858,2.548466147,4.631,,,,,,,,,,,
10000,58.23412698,88.64973676,2.32293209,5.113,,,,,,,,,,,
11000,57.53968254,88.89749148,2.291402041,5.592,,,,,,,,,,,
12000,58.43253968,88.75812945,2.181915496,6.069,,,,,,,,,,,
13000,60.21825397,89.34654692,2.10290692,6.553,,,,,,,,,,,
14000,59.02777778,89.34654692,2.090024464,7.033,,,,,,,,,,,
15000,57.63888889,88.9903995,2.203917611,7.512,,,,,,,,,,,
16000,60.81349206,89.36203159,1.956757205,7.998,,,,,,,,,,,
17000,63.29365079,89.85754103,1.891508766,8.474,,,,,,,,,,,
18000,63.69047619,90.38401982,2.008032449,8.961,,,,,,,,,,,
19000,63.0952381,90.41498916,1.888283598,9.443,,,,,,,,,,,
20000,62.1031746,90.24465779,2.017935428,9.928,,,,,,,,,,,
21000,64.28571429,90.15174977,1.935454073,10.41,,,,,,,,,,,
22000,62.1031746,89.67172499,1.999948597,10.898,,,,,,,,,,,
23000,64.98015873,90.46144317,1.944145138,11.373,,,,,,,,,,,
24000,66.17063492,90.05884175,1.764832183,11.854,,,,,,,,,,,
25000,62.40079365,89.88851037,2.040287193,12.331,,,,,,,,,,,
26000,63.0952381,89.51687829,2.059233098,12.824,,,,,,,,,,,
27000,64.58333333,89.96593373,1.94867889,13.318,,,,,,,,,,,
28000,63.98809524,89.76463301,2.049427489,13.799,,,,,,,,,,,
29000,60.81349206,88.82006813,2.131525922,14.286,,,,,,,,,,,
30000,61.70634921,88.92846082,2.182719204,14.762,,,,,,,,,,,
31000,62.99603175,89.12976154,1.978977971,15.238,,,,,,,,,,,
32000,64.58333333,88.89749148,1.896238677,15.714,,,,,,,,,,,
33000,61.50793651,89.30009291,2.106577813,16.19,,,,,,,,,,,
34000,63.59126984,89.30009291,1.972772331,16.665,,,,,,,,,,,
35000,65.77380952,89.65624032,1.857578438,17.138,,,,,,,,,,,
36000,63.59126984,88.9903995,2.011908776,17.617,,,,,,,,,,,
37000,60.31746032,87.58129452,2.16577878,18.094,,,,,,,,,,,
38000,59.22619048,86.760607,2.23702544,18.571,,,,,,,,,,,
39000,62.59920635,88.60328275,1.999274974,19.049,,,,,,,,,,,
40000,59.12698413,87.93744193,2.146229301,19.524,,,,,,,,,,,
41000,57.24206349,87.58129452,2.357714034,19.998,,,,,,,,,,,
42000,59.92063492,87.13223908,2.255188103,20.476,,,,,,,,,,,
43000,58.23412698,86.83803035,2.254069436,20.954,,,,,,,,,,,
44000,57.04365079,86.72963766,2.31282813,21.429,,,,,,,,,,,
45000,58.82936508,86.71415299,2.204904535,21.908,,,,,,,,,,,
46000,53.96825397,86.37349024,2.505555167,22.384,,,,,,,,,,,
47000,57.04365079,85.75410344,2.242553838,22.859,,,,,,,,,,,
48000,58.73015873,85.70764943,2.319362841,23.338,,,,,,,,,,,
49000,56.0515873,84.96438526,2.273642359,23.816,,,,,,,,,,,
50000,53.57142857,85.32053267,2.298188933,24.292,,,,,,,,,,,
51000,52.67857143,83.83400434,2.472375733,24.769,,,,,,,,,,,
52000,51.98412698,84.91793125,2.439005908,25.244,,,,,,,,,,,
53000,52.67857143,84.53081449,2.570481289,25.719,,,,,,,,,,,
54000,52.08333333,84.70114587,2.397601329,26.196,,,,,,,,,,,
55000,53.37301587,83.61721895,2.448003788,26.67,,,,,,,,,,,
56000,53.27380952,85.19665531,2.352409605,27.145,,,,,,,,,,,
57000,55.35714286,85.66119542,2.361696891,27.617,,,,,,,,,,,
58000,51.88492063,83.67915763,2.574736552,28.091,,,,,,,,,,,
59000,51.58730159,83.97336637,2.404742004,28.565,,,,,,,,,,,
60000,52.67857143,83.3849489,2.43553731,29.043,,,,,,,,,,,
61000,55.8531746,84.67017653,2.364165547,29.518,,,,,,,,,,,
62000,54.76190476,84.63920718,2.363850798,29.992,,,,,,,,,,,
63000,53.67063492,83.19913286,2.36212213,30.467,,,,,,,,,,,
64000,53.17460317,84.51532982,2.412598564,30.943,,,,,,,,,,,
65000,52.28174603,83.04428616,2.420339251,31.416,,,,,,,,,,,
66000,53.47222222,82.75007742,2.388889743,31.889,,,,,,,,,,,
67000,50.3968254,81.80551254,2.531423903,32.364,,,,,,,,,,,
68000,52.57936508,83.88045835,2.516036587,32.838,,,,,,,,,,,
69000,50.3968254,83.18364819,2.549883855,33.312,,,,,,,,,,,
70000,53.76984127,83.84948901,2.362184023,33.786,,,,,,,,,,,
71000,55.35714286,83.97336637,2.235278111,34.266,,,,,,,,,,,
72000,52.87698413,84.23660576,2.352677378,34.742,,,,,,,,,,,
73000,57.93650794,84.25209043,2.160410277,35.215,,,,,,,,,,,
74000,56.8452381,85.05729328,2.200035052,35.688,,,,,,,,,,,
75000,57.04365079,84.67017653,2.229279507,36.167,,,,,,,,,,,
76000,57.04365079,85.07277795,2.277617297,36.645,,,,,,,,,,,
77000,55.55555556,85.76958811,2.360566394,37.118,,,,,,,,,,,
78000,55.6547619,85.11923196,2.321562425,37.591,,,,,,,,,,,
79000,57.63888889,86.43542893,2.174815161,38.069,,,,,,,,,,,
80000,55.35714286,86.41994426,2.301944942,38.545,,,,,,,,,,,
81000,56.4484127,85.49086404,2.182939007,39.019,,,,,,,,,,,
82000,57.44047619,86.26509755,2.155351896,39.501,,,,,,,,,,,
83000,56.8452381,86.31155156,2.257936824,39.987,,,,,,,,,,,
84000,57.73809524,85.73861877,2.1038972,40.514,,,,,,,,,,,
85000,55.95238095,84.45339114,2.194082805,41.011,,,,,,,,,,,
86000,58.82936508,86.32703623,2.128718513,41.491,,,,,,,,,,,
87000,58.53174603,86.15670486,2.11673325,41.963,,,,,,,,,,,
88000,56.34920635,84.12821307,2.209815272,42.44,,,,,,,,,,,
89000,57.44047619,85.32053267,2.191804801,42.917,,,,,,,,,,,
90000,57.53968254,85.42892536,2.20479078,43.4,,,,,,,,,,,
91000,57.14285714,85.53731806,2.197205939,43.876,,,,,,,,,,,
92000,58.53174603,85.32053267,2.162947279,44.349,,,,,,,,,,,
93000,59.22619048,85.59925674,2.050799907,44.828,,,,,,,,,,,
94000,58.43253968,84.8405079,2.127046715,45.312,,,,,,,,,,,
95000,59.22619048,84.91793125,2.213898977,45.806,,,,,,,,,,,
96000,58.33333333,84.8405079,2.173690622,46.278,,,,,,,,,,,
97000,54.86111111,84.60823784,2.411641619,46.752,,,,,,,,,,,
98000,56.94444444,83.98885104,2.225151256,47.225,,,,,,,,,,,
99000,55.05952381,84.90244658,2.260277318,47.716,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 4|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,2.48015873,1.316196965,16.91180896,0.328,,,,,,,,,,,
1000,26.09126984,73.78445339,5.867466621,0.86,,,,,,,,,,,
2000,30.8531746,79.80799009,4.816336425,1.396,,,,,,,,,,,
3000,32.63888889,82.90492413,4.33959943,1.967,,,,,,,,,,,
4000,35.91269841,85.16568597,3.947352375,2.49,,,,,,,,,,,
5000,40.07936508,86.0328275,3.536805109,3.011,,,,,,,,,,,
6000,41.76587302,86.55930629,3.480279093,3.538,,,,,,,,,,,
7000,44.24603175,87.68968721,3.156555127,4.062,,,,,,,,,,,
8000,48.41269841,87.81356457,2.905442216,4.595,,,,,,,,,,,
9000,50.5952381,88.58779808,2.722665315,5.125,,,,,,,,,,,
10000,50.89285714,88.77361412,2.729762724,5.644,,,,,,,,,,,
11000,55.45634921,89.73366367,2.502251548,6.164,,,,,,,,,,,
12000,55.8531746,89.39300093,2.436312039,6.69,,,,,,,,,,,
13000,58.92857143,90.05884175,2.235645921,7.218,,,,,,,,,,,
14000,60.31746032,90.18271911,2.121097171,7.74,,,,,,,,,,,
15000,62.40079365,91.04986064,2.043511017,8.262,,,,,,,,,,,
16000,61.11111111,90.66274388,2.110063895,8.786,,,,,,,,,,,
17000,62.99603175,90.89501394,2.029390505,9.314,,,,,,,,,,,
18000,64.58333333,91.22019201,1.997839601,9.843,,,,,,,,,,,
19000,65.17857143,91.29761536,1.995339472,10.368,,,,,,,,,,,
20000,65.07936508,91.11179932,1.937113299,10.909,,,,,,,,,,,
21000,65.17857143,91.37503871,1.910188317,11.432,,,,,,,,,,,
22000,67.16269841,91.37503871,1.821199836,11.957,,,,,,,,,,,
23000,66.07142857,91.40600805,1.91489971,12.484,,,,,,,,,,,
24000,66.46825397,91.18922267,1.783831331,13.015,,,,,,,,,,,
25000,68.1547619,91.39052338,1.729509456,13.54,,,,,,,,,,,
26000,67.26190476,91.37503871,1.727783297,14.068,,,,,,,,,,,
27000,64.08730159,90.55435119,1.989800386,14.591,,,,,,,,,,,
28000,67.65873016,91.57633942,1.776752911,15.113,,,,,,,,,,,
29000,68.65079365,91.59182409,1.643331055,15.636,,,,,,,,,,,
30000,68.9484127,91.34406937,1.667982012,16.157,,,,,,,,,,,
31000,68.1547619,91.54537008,1.63299712,16.678,,,,,,,,,,,
32000,68.3531746,91.49891607,1.73533943,17.197,,,,,,,,,,,
33000,67.95634921,91.46794673,1.716473569,17.716,,,,,,,,,,,
34000,69.44444444,91.6382781,1.680162568,18.236,,,,,,,,,,,
35000,66.26984127,90.70919789,1.767201097,18.763,,,,,,,,,,,
36000,65.47619048,90.61628987,1.93918613,19.295,,,,,,,,,,,
37000,63.88888889,89.64075565,1.928106128,19.815,,,,,,,,,,,
38000,64.48412698,90.27562713,1.96781427,20.333,,,,,,,,,,,
39000,62.59920635,89.718179,2.069946599,20.866,,,,,,,,,,,
40000,62.00396825,89.23815423,2.084635937,21.399,,,,,,,,,,,
41000,59.22619048,88.66522143,2.205386658,21.913,,,,,,,,,,,
42000,59.52380952,88.15422731,2.141956273,22.434,,,,,,,,,,,
43000,57.34126984,87.37999381,2.520895273,23.013,,,,,,,,,,,
44000,52.38095238,85.38247135,2.773734591,23.538,,,,,,,,,,,
45000,52.77777778,86.26509755,2.591165469,24.075,,,,,,,,,,,
46000,51.28968254,83.75658098,2.755389371,24.627,,,,,,,,,,,
47000,50.49603175,85.41344069,2.878097914,25.156,,,,,,,,,,,
48000,43.84920635,79.83895943,3.04957386,25.689,,,,,,,,,,,
49000,46.42857143,83.19913286,3.019138794,26.213,,,,,,,,,,,
50000,43.25396825,79.66862806,3.335148543,26.742,,,,,,,,,,,
51000,38.0952381,74.20253949,3.823780806,27.279,,,,,,,,,,,
52000,42.65873016,80.31898421,3.309947363,27.81,,,,,,,,,,,
53000,45.53571429,80.95385568,3.148636903,28.34,,,,,,,,,,,
54000,43.1547619,80.38092289,3.26004204,28.868,,,,,,,,,,,
55000,43.5515873,79.00278724,3.066224008,29.397,,,,,,,,,,,
56000,40.77380952,78.07370703,3.381759775,29.925,,,,,,,,,,,
57000,36.01190476,76.78847941,3.704644535,30.456,,,,,,,,,,,
58000,35.51587302,77.00526479,3.641678411,30.989,,,,,,,,,,,
59000,39.58333333,76.41684732,3.570141124,31.517,,,,,,,,,,,
60000,38.98809524,78.73954785,3.733332021,32.046,,,,,,,,,,,
61000,43.84920635,78.04273769,3.246901272,32.586,,,,,,,,,,,
62000,40.27777778,78.53824714,3.447150124,33.113,,,,,,,,,,,
63000,42.55952381,78.92536389,3.159753316,33.638,,,,,,,,,,,
64000,41.46825397,77.70207495,3.141384218,34.177,,,,,,,,,,,
65000,35.11904762,73.31991329,3.472058095,34.705,,,,,,,,,,,
66000,34.02777778,73.58315268,3.50602893,35.238,,,,,,,,,,,
67000,36.60714286,73.55218334,3.396329663,35.766,,,,,,,,,,,
68000,34.32539683,73.78445339,3.896200412,36.308,,,,,,,,,,,
