Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
44000,30.6547619,0.025094902,768.217
45000,29.96031746,0.025615852,785.656
46000,29.36507937,0.026008251,803.12
47000,27.48015873,0.02635025,820.583
48000,28.57142857,0.026216565,838.039
49000,28.27380952,0.0271223,855.496
,,,
Antal H lag: 3|Nueroner pr lag 40,,,
Cycles,Accuracy,Err,Time
0,2.380952381,0.038904941,0.859
1000,14.38492063,0.030989511,34.63
2000,19.54365079,0.02919069,68.457
3000,21.72619048,0.028437641,102.208
4000,24.20634921,0.027712304,135.93
5000,27.08333333,0.026949406,169.655
6000,27.97619048,0.026480315,203.378
7000,28.67063492,0.026079252,237.124
8000,28.96825397,0.025813506,270.855
9000,29.76190476,0.025430691,304.582
10000,31.94444444,0.024662132,338.31
11000,32.73809524,0.024231639,372.04
12000,35.51587302,0.023547113,405.84
13000,36.70634921,0.02352623,439.574
14000,38.39285714,0.022984479,473.297
15000,39.08730159,0.022455056,507.035
16000,39.08730159,0.02207501,540.757
17000,40.77380952,0.021799473,574.484
18000,41.86507937,0.021161933,608.24
19000,42.85714286,0.020958751,641.996
20000,43.75,0.020822423,675.725
21000,44.54365079,0.020456656,709.473
22000,44.64285714,0.020531877,743.219
23000,44.94047619,0.020392474,776.984
24000,47.32142857,0.019595578,810.711
25000,48.01587302,0.019184426,844.439
26000,46.52777778,0.019437121,878.177
27000,49.00793651,0.018883891,911.906
28000,49.4047619,0.018931691,945.629
29000,48.51190476,0.019227456,979.477
30000,49.70238095,0.018679432,1013.229
31000,50.69444444,0.018356729,1047.003
32000,50.5952381,0.018450383,1080.754
33000,52.18253968,0.017841236,1114.482
34000,51.58730159,0.018096797,1148.209
35000,51.98412698,0.018125635,1181.953
36000,53.27380952,0.017224389,1215.715
37000,54.16666667,0.017211538,1249.448
38000,54.66269841,0.017245286,1283.183
39000,53.67063492,0.017479228,1316.974
40000,57.63888889,0.016514936,1350.703
41000,54.86111111,0.017198935,1384.483
42000,57.93650794,0.016462958,1418.214
43000,59.02777778,0.016320226,1451.955
44000,59.32539683,0.016092218,1485.69
45000,58.43253968,0.01611233,1519.446
46000,58.03571429,0.016520931,1553.25
47000,58.33333333,0.016441316,1587.025
48000,58.23412698,0.016247133,1620.785
49000,59.82142857,0.015868095,1654.539
,,,
Antal H lag: 3|Nueroner pr lag 50,,,
Cycles,Accuracy,Err,Time
0,2.777777778,0.045902844,1.098
1000,16.26984127,0.032009008,43.496
2000,20.93253968,0.030175904,85.899
3000,23.51190476,0.028436142,128.263
4000,25,0.027720297,170.648
5000,27.08333333,0.026903905,213.036
6000,27.57936508,0.026500677,255.413
7000,29.86111111,0.025740115,297.783
8000,30.95238095,0.025313027,340.203
9000,32.24206349,0.024712777,382.57
10000,33.33333333,0.024203039,424.949
11000,33.63095238,0.023725359,467.33
12000,35.31746032,0.023418189,509.711
13000,35.01984127,0.023232156,552.178
14000,36.80555556,0.022657438,594.632
15000,38.88888889,0.02237796,637.029
16000,40.97222222,0.021666223,679.451
17000,41.76587302,0.021321717,721.847
18000,42.16269841,0.021283645,764.27
19000,44.04761905,0.020618711,806.746
20000,45.53571429,0.020098006,849.22
21000,46.52777778,0.019918744,891.617
22000,48.61111111,0.019337347,934.07
23000,50.09920635,0.018554964,976.462
24000,51.28968254,0.018318781,1018.823
25000,51.68650794,0.018685676,1061.196
26000,51.58730159,0.01834285,1103.547
27000,50.5952381,0.019018461,1145.951
28000,51.98412698,0.017627877,1188.386
29000,54.46428571,0.017265665,1230.836
30000,53.86904762,0.017581717,1273.227
31000,54.46428571,0.01720954,1315.642
32000,54.66269841,0.016802617,1358.059
33000,56.6468254,0.016301656,1400.469
34000,56.74603175,0.016056717,1442.857
35000,55.8531746,0.01622024,1485.225
36000,56.0515873,0.016126012,1527.595
37000,58.92857143,0.015470739,1569.955
38000,59.92063492,0.015252265,1612.454
39000,59.22619048,0.015259684,1654.844
40000,59.52380952,0.015257072,1697.372
41000,58.73015873,0.015452773,1739.747
42000,60.81349206,0.014894148,1782.106
43000,62.6984127,0.014458407,1824.508
44000,60.61507937,0.014667621,1866.886
45000,62.59920635,0.014066762,1909.258
46000,61.9047619,0.014331971,1951.699
47000,64.28571429,0.013873838,1994.078
48000,63.78968254,0.01396611,2036.454
49000,65.97222222,0.013251458,2078.861
,,,
Antal H lag: 5|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
0,2.777777778,0.027118378,0.118
1000,3.670634921,0.028342046,6.385
2000,2.976190476,0.028301985,12.651
3000,1.884920635,0.028271149,18.917
4000,2.777777778,0.028256427,25.191
5000,2.777777778,0.028149235,31.455
6000,5.654761905,0.028170131,37.721
7000,4.662698413,0.028182504,43.987
8000,2.876984127,0.02815,50.256
9000,4.96031746,0.028104416,56.52
10000,4.365079365,0.028074453,62.783
11000,6.547619048,0.028038245,69.05
12000,5.257936508,0.02797929,75.316
13000,4.96031746,0.027959281,81.581
14000,6.547619048,0.027921838,87.845
15000,6.349206349,0.027913341,94.112
16000,6.051587302,0.027903293,100.38
17000,6.051587302,0.027951514,106.647
18000,6.448412698,0.027925505,112.91
19000,6.547619048,0.027896193,119.175
20000,5.05952381,0.027994755,125.44
21000,6.051587302,0.028058242,131.709
22000,5.952380952,0.028084624,137.972
23000,5.05952381,0.028195172,144.239
24000,5.952380952,0.028218422,150.511
25000,5.753968254,0.028321363,156.787
26000,6.547619048,0.028374836,163.053
27000,6.051587302,0.028349506,169.32
28000,8.134920635,0.028289961,175.586
29000,7.837301587,0.028154223,181.852
30000,8.829365079,0.028540638,188.12
31000,8.531746032,0.028489465,194.393
32000,8.035714286,0.028606179,200.659
33000,7.936507937,0.028922249,206.923
34000,8.432539683,0.0286104,213.188
35000,7.837301587,0.028621051,219.454
36000,8.630952381,0.028622859,225.721
37000,7.638888889,0.028495452,231.996
38000,6.944444444,0.029195169,238.263
39000,2.777777778,NaN,244.528
40000,2.777777778,NaN,250.783
41000,2.777777778,NaN,257.037
42000,2.777777778,NaN,263.301
43000,2.777777778,NaN,269.557
44000,2.777777778,NaN,275.814
45000,2.777777778,NaN,282.071
46000,2.777777778,NaN,288.329
47000,2.777777778,NaN,294.599
48000,2.777777778,NaN,300.855
49000,2.777777778,NaN,307.114
,,,
Antal H lag: 5|Nueroner pr lag 10,,,
Cycles,Accuracy,Err,Time
0,4.166666667,0.027053014,0.224
1000,4.067460317,0.02768784,10.437
2000,4.365079365,0.027687786,20.65
3000,4.96031746,0.027653186,30.868
4000,5.555555556,0.02758789,41.08
5000,5.257936508,0.027638823,51.297
6000,4.563492063,0.027701632,61.512
7000,4.166666667,0.027819007,71.741
8000,3.968253968,0.027958897,81.962
9000,6.150793651,0.027940306,92.178
10000,6.944444444,0.028153615,102.41
11000,8.134920635,0.028026969,112.647
12000,9.523809524,0.027974787,122.866
13000,10.31746032,0.027685685,133.08
14000,10.11904762,0.027624375,143.298
15000,12.5,0.02746716,153.513
16000,11.60714286,0.027924342,163.74
17000,14.08730159,0.027766286,173.957
18000,12.20238095,0.027673522,184.172
19000,12.8968254,0.028276094,194.395
20000,10.81349206,0.028215611,204.61
21000,13.29365079,0.028072125,214.83
22000,14.08730159,0.028026,225.059
23000,14.18650794,0.027996897,235.277
24000,14.48412698,0.028038582,245.493
25000,13.29365079,0.028167713,255.706
